"Species","Toxina"
"Micropechis ikaheka","LAAO"
"Pseudechis papuanus","LAAO"
"Hydrophis schitosus","LAAO"
"Bungarus candidus (Malaya)","LAAO"
"Bungarus fasciatus (Vietnam)","LAAO"
"Bungarus faciatus (Malaya)","LAAO"
"Naja haje","LAAO"
"Naja atra (Taiwan)","LAAO"
"Naja kaouthia (Malaya)","LAAO"
"Naja kaouthia (Thailand)","LAAO"
"Naja kaouthia (Vietnam)","LAAO"
"Naja naja (Eastern India)","LAAO"
"Naja sputatrix","LAAO"
"Ophiophagus hannah","LAAO"
"Micrurus alleni","LAAO"
"Micrurus altirostris","LAAO"
"Micrurus clarki","LAAO"
"Micrurus corallinus","LAAO"
"Micrurus dumerelli","LAAO"
"Micrurus mipartitus","LAAO"
"Micrurus mosquitensis","LAAO"
"Micrurus multicasciatus","LAAO"
"Micrurus nigrocinctus","LAAO"
"Micrurus tschudii","LAAO"
"Austrelaps labialis","PLA2"
"Micropechis ikaheka","PLA2"
"Notechis scutulatus","PLA2"
"Oxyuranus scutellatus","PLA2"
"Pseudechis papuanus","PLA2"
"Toxicolamus longissimus","PLA2"
"Aipysurus laevis","PLA2"
"Hydrophis cyanocinctus","PLA2"
"Hydrophis platurus","PLA2"
"Hydrophis schitosus","PLA2"
"Laticauda colubrina","PLA2"
"Bungarus caeruleus","PLA2"
"Bungarus candidus (Malaya)","PLA2"
"Bungarus fasciatus (Vietnam)","PLA2"
"Bungarus faciatus (Malaya)","PLA2"
"Naja haje","PLA2"
"Naja melanoleuca","PLA2"
"Naja katiensis","PLA2"
"Naja mossambica","PLA2"
"Naja nigricollis","PLA2"
"Naja nubiae","PLA2"
"Naja pallida","PLA2"
"Naja atra (China)","PLA2"
"Naja atra (Taiwan)","PLA2"
"Naja kaouthia (China)","PLA2"
"Naja kaouthia (Malaya)","PLA2"
"Naja kaouthia (Thailand)","PLA2"
"Naja kaouthia (Vietnam)","PLA2"
"Naja naja (Eastern India)","PLA2"
"Naja naja (North west India)","PLA2"
"Naja naja (Sri Lanka)","PLA2"
"Naja sputatrix","PLA2"
"Ophiophagus hannah","PLA2"
"Micrurus alleni","PLA2"
"Micrurus altirostris","PLA2"
"Micrurus clarki","PLA2"
"Micrurus corallinus","PLA2"
"Micrurus dumerelli","PLA2"
"Micrurus fulvius","PLA2"
"Micrurus mipartitus","PLA2"
"Micrurus mosquitensis","PLA2"
"Micrurus multicasciatus","PLA2"
"Micrurus nigrocinctus","PLA2"
"Micrurus tschudii","PLA2"
"Austrelaps labialis","SVMP"
"Micropechis ikaheka","SVMP"
"Oxyuranus scutellatus","SVMP"
"Pseudechis papuanus","SVMP"
"Toxicolamus longissimus","SVMP"
"Hydrophis platurus","SVMP"
"Hydrophis schitosus","SVMP"
"Bungarus caeruleus","SVMP"
"Bungarus candidus (Malaya)","SVMP"
"Bungarus fasciatus (Vietnam)","SVMP"
"Bungarus faciatus (Malaya)","SVMP"
"Dendroapsis angusticeps","SVMP"
"Dendroapsis polyepis","SVMP"
"Naja haje","SVMP"
"Naja melanoleuca","SVMP"
"Naja katiensis","SVMP"
"Naja mossambica","SVMP"
"Naja nigricollis","SVMP"
"Naja nubiae","SVMP"
"Naja pallida","SVMP"
"Naja atra (China)","SVMP"
"Naja atra (Taiwan)","SVMP"
"Naja kaouthia (China)","SVMP"
"Naja kaouthia (Malaya)","SVMP"
"Naja kaouthia (Thailand)","SVMP"
"Naja kaouthia (Vietnam)","SVMP"
"Naja naja (Eastern India)","SVMP"
"Naja naja (North west India)","SVMP"
"Naja naja (Sri Lanka)","SVMP"
"Naja sputatrix","SVMP"
"Ophiophagus hannah","SVMP"
"Micrurus alleni","SVMP"
"Micrurus altirostris","SVMP"
"Micrurus clarki","SVMP"
"Micrurus corallinus","SVMP"
"Micrurus dumerelli","SVMP"
"Micrurus fulvius","SVMP"
"Micrurus mipartitus","SVMP"
"Micrurus mosquitensis","SVMP"
"Micrurus multicasciatus","SVMP"
"Micrurus nigrocinctus","SVMP"
"Micropechis ikaheka","SVSP"
"Notechis scutulatus","SVSP"
"Oxyuranus scutellatus","SVSP"
"Bungarus candidus (Malaya)","SVSP"
"Bungarus faciatus (Malaya)","SVSP"
"Naja naja (Eastern India)","SVSP"
"Naja sputatrix","SVSP"
"Micrurus clarki","SVSP"
"Micrurus corallinus","SVSP"
"Micrurus dumerelli","SVSP"
"Micrurus mipartitus","SVSP"
"Micrurus mosquitensis","SVSP"
"Micrurus nigrocinctus","SVSP"
"Austrelaps labialis","FT"
"Drysdalia coronoides","FT"
"Micropechis ikaheka","FT"
"Notechis scutulatus","FT"
"Oxyuranus scutellatus","FT"
"Pseudechis papuanus","FT"
"Toxicolamus longissimus","FT"
"Aipysurus laevis","FT"
"Hydrophis cyanocinctus","FT"
"Hydrophis platurus","FT"
"Hydrophis schitosus","FT"
"Laticauda colubrina","FT"
"Bungarus caeruleus","FT"
"Bungarus candidus (Malaya)","FT"
"Bungarus fasciatus (Vietnam)","FT"
"Bungarus faciatus (Malaya)","FT"
"Dendroapsis angusticeps","FT"
"Dendroapsis polyepis","FT"
"Naja haje","FT"
"Naja melanoleuca","FT"
"Naja katiensis","FT"
"Naja mossambica","FT"
"Naja nigricollis","FT"
"Naja nubiae","FT"
"Naja pallida","FT"
"Naja atra (China)","FT"
"Naja atra (Taiwan)","FT"
"Naja kaouthia (China)","FT"
"Naja kaouthia (Malaya)","FT"
"Naja kaouthia (Thailand)","FT"
"Naja kaouthia (Vietnam)","FT"
"Naja naja (Eastern India)","FT"
"Naja naja (North west India)","FT"
"Naja naja (Sri Lanka)","FT"
"Naja sputatrix","FT"
"Ophiophagus hannah","FT"
"Micrurus alleni","FT"
"Micrurus altirostris","FT"
"Micrurus clarki","FT"
"Micrurus corallinus","FT"
"Micrurus dumerelli","FT"
"Micrurus fulvius","FT"
"Micrurus mipartitus","FT"
"Micrurus mosquitensis","FT"
"Micrurus multicasciatus","FT"
"Micrurus nigrocinctus","FT"
"Micrurus tschudii","FT"
"Austrelaps labialis","KUN"
"Drysdalia coronoides","KUN"
"Micropechis ikaheka","KUN"
"Notechis scutulatus","KUN"
"Oxyuranus scutellatus","KUN"
"Bungarus caeruleus","KUN"
"Bungarus candidus (Malaya)","KUN"
"Bungarus fasciatus (Vietnam)","KUN"
"Bungarus faciatus (Malaya)","KUN"
"Dendroapsis angusticeps","KUN"
"Dendroapsis polyepis","KUN"
"Naja haje","KUN"
"Naja melanoleuca","KUN"
"Naja kaouthia (Malaya)","KUN"
"Naja naja (Eastern India)","KUN"
"Naja sputatrix","KUN"
"Ophiophagus hannah","KUN"
"Micrurus altirostris","KUN"
"Micrurus clarki","KUN"
"Micrurus dumerelli","KUN"
"Micrurus fulvius","KUN"
"Micrurus mipartitus","KUN"
"Micrurus mosquitensis","KUN"
"Micrurus multicasciatus","KUN"
"Micrurus tschudii","KUN"
"Austrelaps labialis","CRiSP"
"Drysdalia coronoides","CRiSP"
"Micropechis ikaheka","CRiSP"
"Notechis scutulatus","CRiSP"
"Oxyuranus scutellatus","CRiSP"
"Pseudechis papuanus","CRiSP"
"Aipysurus laevis","CRiSP"
"Hydrophis platurus","CRiSP"
"Hydrophis schitosus","CRiSP"
"Laticauda colubrina","CRiSP"
"Bungarus caeruleus","CRiSP"
"Bungarus candidus (Malaya)","CRiSP"
"Bungarus fasciatus (Vietnam)","CRiSP"
"Bungarus faciatus (Malaya)","CRiSP"
"Dendroapsis angusticeps","CRiSP"
"Naja haje","CRiSP"
"Naja melanoleuca","CRiSP"
"Naja katiensis","CRiSP"
"Naja nigricollis","CRiSP"
"Naja atra (China)","CRiSP"
"Naja atra (Taiwan)","CRiSP"
"Naja kaouthia (China)","CRiSP"
"Naja kaouthia (Malaya)","CRiSP"
"Naja kaouthia (Thailand)","CRiSP"
"Naja kaouthia (Vietnam)","CRiSP"
"Naja naja (Eastern India)","CRiSP"
"Naja naja (North west India)","CRiSP"
"Naja naja (Sri Lanka)","CRiSP"
"Ophiophagus hannah","CRiSP"
"Micrurus altirostris","CRiSP"
